id_aluno_avaliado,id_aluno_avaliador,id_problema,notas
16,18,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.1, ""atitudes"": 1.4}, ""Resolução do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.2, ""atitudes"": 1.4}, ""media"": 1.45}"
16,19,28,"{""Análise do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.4, ""atitudes"": 1.3}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.3, ""atitudes"": 1.2}, ""media"": 1.3}"
16,20,28,"{""Análise do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.4, ""atitudes"": 1.5}, ""Resolução do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.4, ""atitudes"": 1.2}, ""media"": 1.5}"
16,21,28,"{""Análise do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.2, ""atitudes"": 1.3}, ""Resolução do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.1, ""atitudes"": 1.4}, ""media"": 1.04}"
16,22,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.4, ""atitudes"": 1.4}, ""Resolução do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.1, ""atitudes"": 1.1}, ""media"": 1.49}"
16,23,28,"{""Análise do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.4, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.3, ""atitudes"": 1.4}, ""media"": 1.3}"
16,24,28,"{""Análise do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.3, ""atitudes"": 1.1}, ""Resolução do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.4, ""atitudes"": 1.1}, ""media"": 1.15}"
16,25,28,"{""Análise do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.1, ""atitudes"": 1.1}, ""Resolução do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.4, ""atitudes"": 1.4}, ""media"": 1.49}"
16,26,28,"{""Análise do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.4, ""atitudes"": 1.3}, ""Resolução do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.4, ""atitudes"": 1.1}, ""media"": 1.27}"
16,27,28,"{""Análise do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.3, ""atitudes"": 1.5}, ""Resolução do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.2, ""atitudes"": 1.2}, ""media"": 1.16}"
16,28,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.2, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.3, ""atitudes"": 1.4}, ""media"": 1.15}"
16,29,28,"{""Análise do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.4, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.4, ""atitudes"": 1.3}, ""media"": 1.31}"
16,30,28,"{""Análise do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.3, ""atitudes"": 1.4}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.4, ""atitudes"": 1.3}, ""media"": 1.04}"
16,31,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.1, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.4, ""atitudes"": 1.4}, ""media"": 1.42}"
16,32,28,"{""Análise do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.5, ""atitudes"": 1.5}, ""Resolução do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.3, ""atitudes"": 1.3}, ""media"": 1.3}"
16,33,28,"{""Análise do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.5, ""atitudes"": 1.1}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.3, ""atitudes"": 1.3}, ""media"": 1.17}"
16,34,28,"{""Análise do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.2, ""atitudes"": 1.4}, ""Resolução do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.1, ""atitudes"": 1.3}, ""media"": 1.01}"
16,35,28,"{""Análise do Problema"": {""conhecimento"": 0.6, ""habilidades"": 1.4, ""atitudes"": 1.5}, ""Resolução do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.5, ""atitudes"": 1.2}, ""media"": 1.17}"
16,36,28,"{""Análise do Problema"": {""conhecimento"": 0.6, ""habilidades"": 1.2, ""atitudes"": 1.3}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.5, ""atitudes"": 1.3}, ""media"": 1.38}"
16,37,28,"{""Análise do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.4, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.1, ""atitudes"": 1.3}, ""media"": 1.11}"
16,38,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.1, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.4, ""atitudes"": 1.3}, ""media"": 1.2}"
16,39,28,"{""Análise do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.5, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.5, ""atitudes"": 1.5}, ""media"": 1.49}"
16,40,28,"{""Análise do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.1, ""atitudes"": 1.4}, ""Resolução do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.4, ""atitudes"": 1.5}, ""media"": 1.34}"
16,41,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.2, ""atitudes"": 1.3}, ""Resolução do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.4, ""atitudes"": 1.4}, ""media"": 1.03}"
16,42,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.4, ""atitudes"": 1.1}, ""Resolução do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.4, ""atitudes"": 1.2}, ""media"": 1.24}"
16,43,28,"{""Análise do Problema"": {""conhecimento"": 1.0, ""habilidades"": 1.3, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.4, ""atitudes"": 1.2}, ""media"": 1.38}"
16,44,28,"{""Análise do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.1, ""atitudes"": 1.1}, ""Resolução do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.4, ""atitudes"": 1.5}, ""media"": 1.24}"
16,45,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.5, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.2, ""atitudes"": 1.4}, ""media"": 1.17}"
16,46,28,"{""Análise do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.3, ""atitudes"": 1.4}, ""Resolução do Problema"": {""conhecimento"": 0.8, ""habilidades"": 1.2, ""atitudes"": 1.3}, ""media"": 1.2}"
16,47,28,"{""Análise do Problema"": {""conhecimento"": 0.9, ""habilidades"": 1.2, ""atitudes"": 1.2}, ""Resolução do Problema"": {""conhecimento"": 0.7, ""habilidades"": 1.5, ""atitudes"": 1.5}, ""media"": 1.28}"
